Date,Description,Payee,Reference,Amount,Type,Status,Category Code,Category Name,Reconciled
2025-09-04,FNB App Payment From Kefentse Motsepe,FNB App Payment From Kefentse Motsepe,,950.00,Credit,PENDING,,,No
2025-09-04,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Sep,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Sep,,113.67,Debit,PENDING,,,No
2025-09-04,POS Purchase Big Save Mabopane 485442*038201 Sep,POS Purchase Big Save Mabopane 485442*038201 Sep,,2033.74,Debit,PENDING,,,No
2025-09-03,Credit Voucher Vouch Paystack*Xero S400568******9888,Credit Voucher Vouch Paystack*Xero S400568******9888,,1.00,Credit,PENDING,,,No
2025-09-03,POS Purchase Shoprite Morula 485442*038201 Sep,POS Purchase Shoprite Morula 485442*038201 Sep,,771.50,Debit,PENDING,,,No
2025-09-03,POS Purchase Morula 485442*038201 Sep,POS Purchase Morula 485442*038201 Sep,,567.68,Debit,PENDING,,,No
2025-09-03,POS Purchase Paystack*Xero S 400568*988801 Sep,POS Purchase Paystack*Xero S 400568*988801 Sep,,4.68,Debit,PENDING,,,No
2025-09-02,POS Purchase 34.99 Apple.Com/Bil 485442*038231 Aug,POS Purchase 34.99 Apple.Com/Bil 485442*038231 Aug,,38.67,Debit,PENDING,,,No
2025-09-02,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Sep,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Sep,,203.67,Debit,PENDING,,,No
2025-09-02,POS Purchase Afrihost Com 3 400568*988801 Sep,POS Purchase Afrihost Com 3 400568*988801 Sep,,62.68,Debit,PENDING,,,No
2025-09-01,FNB App Payment From Enelo Nqunqa,FNB App Payment From Enelo Nqunqa,,950.00,Credit,PENDING,,,No
2025-09-01,Magtape Debit D6 Group_313916490_D6 Group,Magtape Debit D6 Group_313916490_D6 Group,,909.00,Debit,PENDING,,,No
2025-09-01,Payshap Credit OMpane,Payshap Credit OMpane,,1300.00,Credit,PENDING,,,No
2025-09-01,Payshap Credit Fumi Mhangwana,Payshap Credit Fumi Mhangwana,,950.00,Credit,PENDING,,,No
2025-08-30,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,,6808.00,Debit,PENDING,,,No
2025-08-30,Payshap Credit Tlotlego Mosima,Payshap Credit Tlotlego Mosima,,950.00,Credit,PENDING,,,No
2025-08-30,Scheduled Payment To Odirile Salary Elle Elephant Salary,Scheduled Payment To Odirile Salary Elle Elephant Salary,,2508.00,Debit,PENDING,,,No
2025-08-30,POS Purchase Usave Klipgat 485442*038228 Aug,POS Purchase Usave Klipgat 485442*038228 Aug,,99.62,Debit,PENDING,,,No
2025-08-30,FNB App Payment To Elle Elephant Salary Ig Letswalo Salary,FNB App Payment To Elle Elephant Salary Ig Letswalo Salary,,2508.00,Debit,PENDING,,,No
2025-08-30,FNB App Payment To Gratuation Photos Elle Elephant,FNB App Payment To Gratuation Photos Elle Elephant,,2008.00,Debit,PENDING,,,No
2025-08-29,Magtape Credit Fumi Mhangwani,Magtape Credit Fumi Mhangwani,,270.00,Credit,PENDING,,,No
2025-08-29,Magtape Credit Capitec TPelo,Magtape Credit Capitec TPelo,,950.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit Maya Ona Manyaka,Payshap Credit Maya Ona Manyaka,,1190.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit GMosikare,Payshap Credit GMosikare,,300.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit Minentle Masuku,Payshap Credit Minentle Masuku,,950.00,Credit,PENDING,,,No
2025-08-29,FNB App Payment From Thatego Madisa,FNB App Payment From Thatego Madisa,,1220.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit Phenyo Matjila,Payshap Credit Phenyo Matjila,,270.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit OMpane,Payshap Credit OMpane,,420.00,Credit,PENDING,,,No
2025-08-29,Magtape Credit Capitec Bokang Motiang,Magtape Credit Capitec Bokang Motiang,,1000.00,Credit,PENDING,,,No
2025-08-29,Payshap Credit Kaboentle Molomo,Payshap Credit Kaboentle Molomo,,1380.00,Credit,PENDING,,,No
2025-08-29,Magtape Credit Capitec Bokamoso Mbewe,Magtape Credit Capitec Bokamoso Mbewe,,1300.00,Credit,PENDING,,,No
2025-08-28,POS Purchase Leomi Fashions 485442*038226 Aug,POS Purchase Leomi Fashions 485442*038226 Aug,,1290.00,Debit,PENDING,,,No
2025-08-28,Magtape Credit Capitec MMakwela,Magtape Credit Capitec MMakwela,,70.00,Credit,PENDING,,,No
2025-08-28,FNB App Payment From Kgolagano Maretlwa,FNB App Payment From Kgolagano Maretlwa,,500.00,Credit,PENDING,,,No
2025-08-28,Card Cashback Cashb Usave Klipgat 745520*6130,Card Cashback Cashb Usave Klipgat 745520*6130,,1002.00,Debit,PENDING,,,No
2025-08-28,Card Purchase With Cashback Usave Klipgat 485442*038226 Aug,Card Purchase With Cashback Usave Klipgat 485442*038226 Aug,,199.64,Debit,PENDING,,,No
2025-08-27,Magtape Credit Capitec MMakwela,Magtape Credit Capitec MMakwela,,250.00,Credit,PENDING,,,No
2025-08-27,Payshap Credit Tlotlego Mosima,Payshap Credit Tlotlego Mosima,,500.00,Credit,PENDING,,,No
2025-08-26,POS Purchase Microsoft Iso 400568*988824 Aug,POS Purchase Microsoft Iso 400568*988824 Aug,,159.00,Debit,PENDING,,,No
2025-08-26,#Service Fees#Int Pymt Fee-79.99 Apple,#Service Fees#Int Pymt Fee-79.99 Apple,,1.80,Debit,PENDING,,,No
2025-08-25,Magtape Credit Phatutshedzo Phaswana,Magtape Credit Phatutshedzo Phaswana,,950.00,Credit,PENDING,,,No
2025-08-25,Scheduled Pymt From Loago Ramatlhatse,Scheduled Pymt From Loago Ramatlhatse,,950.00,Credit,PENDING,,,No
2025-08-25,Magtape Credit Capitec Oreatlile Simango,Magtape Credit Capitec Oreatlile Simango,,1000.00,Credit,PENDING,,,No
2025-08-25,Magtape Credit Capitec Thatego Mphela,Magtape Credit Capitec Thatego Mphela,,1250.00,Credit,PENDING,,,No
2025-08-23,Card POSCash Cshmr Ccn*One Stop P 74552005233210939002,Card POSCash Cshmr Ccn*One Stop P 74552005233210939002,,330.00,Debit,PENDING,,,No
2025-08-23,POS Purchase Discount(Hardware) 485442*038221 Aug,POS Purchase Discount(Hardware) 485442*038221 Aug,,330.00,Debit,PENDING,,,No
2025-08-23,POS Purchase Discount(Hardware) 485442*038221 Aug,POS Purchase Discount(Hardware) 485442*038221 Aug,,280.00,Debit,PENDING,,,No
2025-08-22,POS Purchase Rain 400568*988820 Aug,POS Purchase Rain 400568*988820 Aug,,819.00,Debit,PENDING,,,No
2025-08-22,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Aug,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Aug,,79.99,Debit,PENDING,,,No
2025-08-21,Payshap Credit GMosikare,Payshap Credit GMosikare,,950.00,Credit,PENDING,,,No
2025-08-21,Magtape Credit Capitec MMakwela,Magtape Credit Capitec MMakwela,,900.00,Credit,PENDING,,,No
2025-08-21,Bank charges,ATM Cash Gpn-Ncr 4 485442*0382,,615.72,Debit,PENDING,,,No
2025-08-20,Payshap Credit Kefentse Motsepe,Payshap Credit Kefentse Motsepe,,350.00,Credit,PENDING,,,No
2025-08-18,Payshap Credit SSkhosana,Payshap Credit Sskhosana,,1000.00,Credit,PENDING,,,No
2025-08-18,Bank charges,ATM Cash 00877436 485442*0382,,307.86,Debit,PENDING,,,No
2025-08-18,POS Purchase Hpy*Star Supermarke 485442*038214 Aug,POS Purchase Hpy*Star Supermarke 485442*038214 Aug,,600.00,Debit,PENDING,,,No
2025-08-18,POS Purchase Mcd Hebron Mall(06 485442*038215 Aug,POS Purchase Mcd Hebron Mall(06 485442*038215 Aug,,548.00,Debit,PENDING,,,No
2025-08-18,POS Purchase Mrpriceh Atterbury 400568*988816 Aug,POS Purchase Mrpriceh Atterbury 400568*988816 Aug,,1704.45,Debit,PENDING,,,No
2025-08-16,#Non FNBATM Cash Withdrawal Fee,#Non FNBATM Cash Withdrawal Fee,,26.10,Debit,PENDING,,,No
2025-08-16,Card Cashback Cashb Shoprite Mabop 745520*4165,Card Cashback Cashb Shoprite Mabop 745520*4165,,102.00,Debit,PENDING,,,No
2025-08-16,#Service Fees,#Service Fees,,148.10,Debit,PENDING,,,No
2025-08-16,Card Purchase With Cashback Shoprite Mabopane S 485442*038214 Aug,Card Purchase With Cashback Shoprite Mabopane S 485442*038214 Aug,,892.45,Debit,PENDING,,,No
2025-08-16,#Monthly Account Fee,#Monthly Account Fee,,99.00,Debit,PENDING,,,No
2025-08-16,#Cash Deposit Fee,#Cash Deposit Fee,,18.60,Credit,PENDING,,,No
2025-08-15,Magtape Credit Capitec Ntando Mthimunye,Magtape Credit Capitec Ntando Mthimunye,,950.00,Credit,PENDING,,,No
2025-08-14,Fuel Purchase Engen Mdm Service S 485442*038212 Aug,Fuel Purchase Engen Mdm Service S 485442*038212 Aug,,173.68,Debit,PENDING,,,No
2025-08-14,Fuel Purchase BPKlipgat 485442*038212 Aug,Fuel Purchase BPKlipgat 485442*038212 Aug,,303.68,Debit,PENDING,,,No
2025-08-14,Magtape Credit Fumi Mhangwani,Magtape Credit Fumi Mhangwani,,250.00,Credit,PENDING,,,No
2025-08-14,Payshap Credit Minentle Masuku,Payshap Credit Minentle Masuku,,50.00,Credit,PENDING,,,No
2025-08-13,Fuel Purchase BPKlipgat 485442*038210 Aug,Fuel Purchase BPKlipgat 485442*038210 Aug,,303.68,Debit,PENDING,,,No
2025-08-13,POS Purchase Shoprite Morula 485442*038211 Aug,POS Purchase Shoprite Morula 485442*038211 Aug,,564.78,Debit,PENDING,,,No
2025-08-13,Payshap Credit TPelo,Payshap Credit TPelo,,50.00,Credit,PENDING,,,No
2025-08-12,POS Purchase Shoprite Mabopane S 485442*038209 Aug,POS Purchase Shoprite Mabopane S 485442*038209 Aug,,728.54,Debit,PENDING,,,No
2025-08-11,Bank charges,POS Purchase Nandos Faerie Glen 400568*988808 Aug,,310.68,Debit,PENDING,,,No
2025-08-11,POS Purchase PNPCrp Plantland 400568*988808 Aug,POS Purchase PNPCrp Plantland 400568*988808 Aug,,63.68,Debit,PENDING,,,No
2025-08-11,POS Purchase Usave Klipgat 485442*038207 Aug,POS Purchase Usave Klipgat 485442*038207 Aug,,151.64,Debit,PENDING,,,No
2025-08-11,POS Purchase Liquorshop Olympus 400568*988808 Aug,POS Purchase Liquorshop Olympus 400568*988808 Aug,,239.96,Debit,PENDING,,,No
2025-08-08,POS Purchase Ik*Party In Maraba 485442*038205 Aug,POS Purchase Ik*Party In Maraba 485442*038205 Aug,,108.68,Debit,PENDING,,,No
2025-08-08,Chq Card ATMLocal Cash Advanc Cash Mabopane Squar 74552165218000145459,Chq Card ATMLocal Cash Advanc Cash Mabopane Squar 74552165218000145459,,526.10,Debit,PENDING,,,No
2025-08-07,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,,6808.00,Debit,PENDING,,,No
2025-08-07,Bank charges,ADT Cash Deposit 00686111 Phenyo Nthite,,968.60,Credit,PENDING,,,No
2025-08-07,FNB App Payment From Kefentse Motsepe,FNB App Payment From Kefentse Motsepe,,950.00,Credit,PENDING,,,No
2025-08-07,POS Purchase Shapri Chemical 21 485442*038205 Aug,POS Purchase Shapri Chemical 21 485442*038205 Aug,,195.68,Debit,PENDING,,,No
2025-08-07,Magtape Credit Capitec Gosiame Khoza,Magtape Credit Capitec Gosiame Khoza,,950.00,Credit,PENDING,,,No
2025-08-07,Payshap Credit Leano,Payshap Credit Leano,,950.00,Credit,PENDING,,,No
2025-08-07,Bank charges,ATM Cash Gpn-Ncr 4 485442*0382,,307.86,Debit,PENDING,,,No
2025-08-07,POS Purchase Heavenly Home 485442*038205 Aug,POS Purchase Heavenly Home 485442*038205 Aug,,873.68,Debit,PENDING,,,No
2025-08-07,POS Purchase Daata Ali Cash And 485442*038205 Aug,POS Purchase Daata Ali Cash And 485442*038205 Aug,,219.68,Debit,PENDING,,,No
2025-08-05,#Service Fees#Int Pymt Fee-34.99 Apple,#Service Fees#Int Pymt Fee-34.99 Apple,,0.79,Debit,PENDING,,,No
2025-08-05,#Service Fees#Int Pymt Fee-199.99 Appl,#Service Fees#Int Pymt Fee-199.99 Appl,,4.50,Debit,PENDING,,,No
2025-08-05,Bank charges,ATM Cash Ssdgnnc 3 485442*0382,,615.72,Debit,PENDING,,,No
2025-08-05,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Aug,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Aug,,113.67,Debit,PENDING,,,No
2025-08-05,Fuel Purchase Engen Winterveldt S 485442*038202 Aug,Fuel Purchase Engen Winterveldt S 485442*038202 Aug,,403.68,Debit,PENDING,,,No
2025-08-04,FNB App Payment To Grad Venue Dep Elle Elephant Dep,FNB App Payment To Grad Venue Dep Elle Elephant Dep,,1008.00,Debit,PENDING,,,No
2025-08-04,FNB App Payment From Enelo Nqunqa,FNB App Payment From Enelo Nqunqa,,950.00,Credit,PENDING,,,No
2025-08-04,Payshap Credit Fumi Mhangwana,Payshap Credit Fumi Mhangwana,,950.00,Credit,PENDING,,,No
2025-08-04,POS Purchase Shoprite Morula 485442*038201 Aug,POS Purchase Shoprite Morula 485442*038201 Aug,,436.54,Debit,PENDING,,,No
2025-08-02,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Aug,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Aug,,203.67,Debit,PENDING,,,No
2025-08-02,POS Purchase Afrihost Com 3 400568*988801 Aug,POS Purchase Afrihost Com 3 400568*988801 Aug,,62.68,Debit,PENDING,,,No
2025-08-02,POS Purchase 34.99 Apple.Com/Bil 485442*038231 Jul,POS Purchase 34.99 Apple.Com/Bil 485442*038231 Jul,,38.67,Debit,PENDING,,,No
2025-08-01,Payshap Credit OMpane,Payshap Credit OMpane,,950.00,Credit,PENDING,,,No
2025-08-01,Magtape Debit D6 Group_312208845_D6 Group,Magtape Debit D6 Group_312208845_D6 Group,,909.00,Debit,PENDING,,,No
2025-07-31,Payshap Credit Kaboentle Molomo,Payshap Credit Kaboentle Molomo,,1300.00,Credit,PENDING,,,No
2025-07-31,Payshap Credit Minentle Masuku,Payshap Credit Minentle Masuku,,950.00,Credit,PENDING,,,No
2025-07-31,Card Cashback Cashb Shoprite Mabop 745520*9150,Card Cashback Cashb Shoprite Mabop 745520*9150,,302.00,Debit,PENDING,,,No
2025-07-31,Card Purchase With Cashback Shoprite Mabopane S 485442*038229 Jul,Card Purchase With Cashback Shoprite Mabopane S 485442*038229 Jul,,329.82,Debit,PENDING,,,No
2025-07-31,FNB App Payment To Elle Elephant Salary Ig Letswalo Salary,FNB App Payment To Elle Elephant Salary Ig Letswalo Salary,,2508.00,Debit,PENDING,,,No
2025-07-30,Magtape Credit Capitec Bokang Motiang,Magtape Credit Capitec Bokang Motiang,,1000.00,Credit,PENDING,,,No
2025-07-30,Card POSCash Cshmr Ccn*One Stop P 74552005209280919002,Card POSCash Cshmr Ccn*One Stop P 74552005209280919002,,445.00,Debit,PENDING,,,No
2025-07-30,FNB App Payment From Thatego Madisa,FNB App Payment From Thatego Madisa,,950.00,Credit,PENDING,,,No
2025-07-30,Scheduled Payment To Odirile Salary Elle Elephant Salary,Scheduled Payment To Odirile Salary Elle Elephant Salary,,2500.00,Debit,PENDING,,,No
2025-07-29,#Service Fees#Int Pymt Fee-Dlocal*Mic,#Service Fees#Int Pymt Fee-Dlocal*Mic,,3.58,Debit,PENDING,,,No
2025-07-29,Payshap Credit Elle,Payshap Credit Elle,,1000.00,Credit,PENDING,,,No
2025-07-29,#Service Fees#Int Pymt Fee-79.99 Apple,#Service Fees#Int Pymt Fee-79.99 Apple,,1.80,Debit,PENDING,,,No
2025-07-28,Payshap Credit Maya Ona Manyaka,Payshap Credit Maya Ona Manyaka,,1800.00,Credit,PENDING,,,No
2025-07-28,Magtape Credit Capitec TPelo,Magtape Credit Capitec TPelo,,950.00,Credit,PENDING,,,No
2025-07-28,Magtape Credit Phatutshedzo Phaswana,Magtape Credit Phatutshedzo Phaswana,,1300.00,Credit,PENDING,,,No
2025-07-28,Magtape Credit Capitec TPelo,Magtape Credit Capitec TPelo,,270.00,Credit,PENDING,,,No
2025-07-26,Fuel Purchase BPGarage Klipgat 485442*038224 Jul,Fuel Purchase BPGarage Klipgat 485442*038224 Jul,,300.00,Debit,PENDING,,,No
2025-07-25,Scheduled Pymt From Loago Ramatlhatse,Scheduled Pymt From Loago Ramatlhatse,,950.00,Credit,PENDING,,,No
2025-07-25,POS Purchase Dlocal*Microsoft M 400568*988824 Jul,POS Purchase Dlocal*Microsoft M 400568*988824 Jul,,159.00,Debit,PENDING,,,No
2025-07-25,Int-Banking Pmt Frm Princess Dinah,Int-Banking Pmt Frm Princess Dinah,,1700.00,Credit,PENDING,,,No
2025-07-25,Magtape Credit Capitec Thatego Mphela,Magtape Credit Capitec Thatego Mphela,,950.00,Credit,PENDING,,,No
2025-07-25,POS Purchase Roots Mabopane 485442*038222 Jul,POS Purchase Roots Mabopane 485442*038222 Jul,,184.48,Debit,PENDING,,,No
2025-07-24,POS Purchase Shoprite Mabopane S 485442*038222 Jul,POS Purchase Shoprite Mabopane S 485442*038222 Jul,,925.43,Debit,PENDING,,,No
2025-07-23,Fuel Purchase Engen Winterveldt S 485442*038221 Jul,Fuel Purchase Engen Winterveldt S 485442*038221 Jul,,200.00,Debit,PENDING,,,No
2025-07-23,Magtape Credit Capitec MMakwela,Magtape Credit Capitec MMakwela,,900.00,Credit,PENDING,,,No
2025-07-23,POS Purchase Rain 400568*988821 Jul,POS Purchase Rain 400568*988821 Jul,,819.00,Debit,PENDING,,,No
2025-07-23,Card Purchase With Cashback Usave Mabopane 485442*038221 Jul,Card Purchase With Cashback Usave Mabopane 485442*038221 Jul,,45.98,Debit,PENDING,,,No
2025-07-23,Card Cashback Cashb Usave Mabopane 745520*1112,Card Cashback Cashb Usave Mabopane 745520*1112,,102.00,Debit,PENDING,,,No
2025-07-22,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Jul,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Jul,,79.99,Debit,PENDING,,,No
2025-07-22,Bank charges,ATM Cash 00877436 485442*0382,,205.24,Debit,PENDING,,,No
2025-07-17,#Monthly Account Fee,#Monthly Account Fee,,99.00,Debit,PENDING,,,No
2025-07-17,#Service Fees,#Service Fees,,254.74,Debit,PENDING,,,No
2025-07-17,#Cash Deposit Fee,#Cash Deposit Fee,,24.04,Credit,PENDING,,,No
2025-07-16,Payshap Credit Fumi Mhangwana,Payshap Credit Fumi Mhangwana,,950.00,Credit,PENDING,,,No
2025-07-16,Magtape Credit Capitec MKabelo,Magtape Credit Capitec MKabelo,,950.00,Credit,PENDING,,,No
2025-07-15,Magtape Credit Capitec Ntando Mthimunye,Magtape Credit Capitec Ntando Mthimunye,,950.00,Credit,PENDING,,,No
2025-07-14,POS Purchase Blossom Auto Paints 485442*038212 Jul,POS Purchase Blossom Auto Paints 485442*038212 Jul,,1133.68,Debit,PENDING,,,No
2025-07-14,Bank charges,ATM Cash 05808022 485442*0382,,1539.30,Debit,PENDING,,,No
2025-07-11,#Service Fees#Int Pymt Fee-109.99 Appl,#Service Fees#Int Pymt Fee-109.99 Appl,,2.47,Debit,PENDING,,,No
2025-07-11,#Service Fees#Int Pymt Fee-34.99 Apple,#Service Fees#Int Pymt Fee-34.99 Apple,,0.79,Debit,PENDING,,,No
2025-07-11,#service fees#int pymt fee-199.99 appl,Bank Charges,Import 2025-07-11,4.50,Debit,PENDING,,,No
2025-07-09,pos purchase goldwagen soshanguv 485442*038207 jul,Operational Expenses,Import 2025-07-09,1565.00,Debit,PENDING,,,No
2025-07-09,pos purchase vuka motor spares 485442*038207 jul,Operational Expenses,Import 2025-07-09,1615.00,Debit,PENDING,,,No
2025-07-08,magtape credit capitec gosiame khoza,Gosiame Khoza,Import 2025-07-08,950.00,Credit,PENDING,,,No
2025-07-07,adt cash deposit 00686115 phenyo nthite,Phenyo Nthite,Import 2025-07-07,1380.00,Credit,PENDING,,,No
2025-07-07,Bank charges,ATM Cash 05808022 485442*0382,,1128.82,Debit,PENDING,,,No
2025-07-04,FNB App Payment From Enelo Nqunqa,FNB App Payment From Enelo Nqunqa,,950.00,Credit,PENDING,,,No
2025-07-04,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Jul,POS Purchase 109.99 Apple.Com/Bi 485442*038203 Jul,,113.67,Debit,PENDING,,,No
2025-07-04,Fuel Purchase BPKlipgat 485442*038202 Jul,Fuel Purchase BPKlipgat 485442*038202 Jul,,303.68,Debit,PENDING,,,No
2025-07-04,FNB App Payment From Kefentse Motsepe,FNB App Payment From Kefentse Motsepe,,950.00,Credit,PENDING,,,No
2025-07-03,Magtape Credit Capitec TPelo,Magtape Credit Capitec TPelo,,950.00,Credit,PENDING,,,No
2025-07-02,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Jul,POS Purchase 199.99 Apple.Com/Bi 485442*038201 Jul,,203.67,Debit,PENDING,,,No
2025-07-02,POS Purchase Afrihost Com 3 400568*988801 Jul,POS Purchase Afrihost Com 3 400568*988801 Jul,,62.68,Debit,PENDING,,,No
2025-07-02,POS Purchase 34.99 Apple.Com/Bil 485442*038230 Jun,POS Purchase 34.99 Apple.Com/Bil 485442*038230 Jun,,38.67,Debit,PENDING,,,No
2025-07-02,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,FNB App Payment To Elsie Ndlovu Elle Elephant Salary,,6808.00,Debit,PENDING,,,No
2025-07-02,Bank charges,ATM Cash 00686110 485442*0382,,3078.60,Debit,PENDING,,,No
2025-07-01,Payshap Credit Leano,Payshap Credit Leano,,950.00,Credit,PENDING,,,No
2025-07-01,Payshap Credit OMpane,Payshap Credit OMpane,,950.00,Credit,PENDING,,,No
2025-07-01,#Service Fees#Int Pymt Fee-Dlocal*Mic,#Service Fees#Int Pymt Fee-Dlocal*Mic,,3.18,Debit,PENDING,,,No
2025-07-01,#Service Fees#Int Pymt Fee-79.99 Apple,#Service Fees#Int Pymt Fee-79.99 Apple,,1.60,Debit,PENDING,,,No
2025-07-01,Magtape Debit D6 Group_310979793_D6 Group,Magtape Debit D6 Group_310979793_D6 Group,,909.00,Debit,PENDING,,,No
2025-06-30,Scheduled Payment To Odirile Salary Elle Elephant Salary,Scheduled Payment To Odirile Salary Elle Elephant Salary,,2505.00,Debit,PENDING,,,No
2025-06-30,Payshap Credit Kaboentle Molomo,Payshap Credit Kaboentle Molomo,,1300.00,Credit,PENDING,,,No
2025-06-30,Payshap Credit Minentle Masuku,Payshap Credit Minentle Masuku,,950.00,Credit,PENDING,,,No
2025-06-30,FNB App Payment From Thatego Madisa,FNB App Payment From Thatego Madisa,,950.00,Credit,PENDING,,,No
2025-06-30,Magtape Credit Capitec MKabelo,Magtape Credit Capitec MKabelo,,950.00,Credit,PENDING,,,No
2025-06-30,Fuel Purchase Engen Winterveldt S 485442*038227 Jun,Fuel Purchase Engen Winterveldt S 485442*038227 Jun,,203.68,Debit,PENDING,,,No
2025-06-28,Fuel Purchase Engen Mdm Service S 485442*038226 Jun,Fuel Purchase Engen Mdm Service S 485442*038226 Jun,,203.68,Debit,PENDING,,,No
2025-06-27,Magtape Credit Capitec Bokang Motiang,Magtape Credit Capitec Bokang Motiang,,1000.00,Credit,PENDING,,,No
2025-06-27,POS Purchase Big Save Mabopane 485442*038224 Jun,POS Purchase Big Save Mabopane 485442*038224 Jun,,1364.26,Debit,PENDING,,,No
2025-06-27,Magtape Credit Phatutshedzo Phaswana,Magtape Credit Phatutshedzo Phaswana,,950.00,Credit,PENDING,,,No
2025-06-27,Magtape Credit Capitec Oreatlile Simango,Magtape Credit Capitec Oreatlile Simango,,1000.00,Credit,PENDING,,,No
2025-06-26,POS Purchase BPGarage Klipgat S 485442*038224 Jun,POS Purchase BPGarage Klipgat S 485442*038224 Jun,,170.68,Debit,PENDING,,,No
2025-06-26,POS Purchase Easy Diy 485442*038224 Jun,POS Purchase Easy Diy 485442*038224 Jun,,198.68,Debit,PENDING,,,No
2025-06-26,POS Purchase BPGarage Klipgat S 485442*038224 Jun,POS Purchase BPGarage Klipgat S 485442*038224 Jun,,303.68,Debit,PENDING,,,No
2025-06-26,Card POSCash Cshmr Ccn*One Stop P 74552005175241517001,Card POSCash Cshmr Ccn*One Stop P 74552005175241517001,,386.50,Debit,PENDING,,,No
2025-06-25,POS Purchase 5 Star Hardware 485442*038223 Jun,POS Purchase 5 Star Hardware 485442*038223 Jun,,150.00,Debit,PENDING,,,No
2025-06-25,Magtape Credit Capitec Thatego Mphela,Magtape Credit Capitec Thatego Mphela,,950.00,Credit,PENDING,,,No
2025-06-25,Scheduled Pymt From Loago Ramatlhatse,Scheduled Pymt From Loago Ramatlhatse,,950.00,Credit,PENDING,,,No
2025-06-25,POS Purchase Dlocal*Microsoft M 400568*988824 Jun,POS Purchase Dlocal*Microsoft M 400568*988824 Jun,,159.00,Debit,PENDING,,,No
2025-06-25,POS Purchase Hpy*Star Supermarke 485442*038221 Jun,POS Purchase Hpy*Star Supermarke 485442*038221 Jun,,152.00,Debit,PENDING,,,No
2025-06-24,Magtape Credit Capitec MMakwela,Magtape Credit Capitec MMakwela,,4500.00,Credit,PENDING,,,No
2025-06-24,#Service Fees#Int Pymt Fee-Dlocal*Mic,#Service Fees#Int Pymt Fee-Dlocal*Mic,,0.88,Debit,PENDING,,,No
2025-06-24,FNB App Payment To House Attorneys Elsie Morulane,FNB App Payment To House Attorneys Elsie Morulane,,2500.00,Debit,PENDING,,,No
2025-06-23,POS Purchase 5 Star Hardware 485442*038221 Jun,POS Purchase 5 Star Hardware 485442*038221 Jun,,110.00,Debit,PENDING,,,No
2025-06-23,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Jun,POS Purchase 79.99 Apple.Com/Bil 485442*038221 Jun,,79.99,Debit,PENDING,,,No
2025-06-23,Payshap Credit Kgomotso Mashabela,Payshap Credit Kgomotso Mashabela,,950.00,Credit,PENDING,,,No
2025-06-23,POS Purchase Rain 400568*988820 Jun,POS Purchase Rain 400568*988820 Jun,,819.00,Debit,PENDING,,,No
2025-06-23,POS Purchase Shoprite Morula 485442*038220 Jun,POS Purchase Shoprite Morula 485442*038220 Jun,,140.59,Debit,PENDING,,,No
2025-06-23,Bank charges,ATM Cash 00877436 485442*0382,,615.00,Debit,PENDING,,,No
2025-06-21,Bank charges,ATM Cash 00877436 485442*0382,,615.00,Debit,PENDING,,,No
2025-06-19,Fuel Purchase Engen Winterveldt S 485442*038217 Jun,Fuel Purchase Engen Winterveldt S 485442*038217 Jun,,200.00,Debit,PENDING,,,No
2025-06-17,Bank charges,POS Purchase Meat Good 485442*038213 Jun,,203.68,Debit,PENDING,,,No
2025-06-17,POS Purchase Dlocal*Microsoft X 400568*988815 Jun,POS Purchase Dlocal*Microsoft X 400568*988815 Jun,,44.10,Debit,PENDING,,,No
2025-06-17,#Service Fees,#Service Fees,,268.28,Debit,PENDING,,,No
2025-06-17,#Monthly Account Fee,#Monthly Account Fee,,99.00,Debit,PENDING,,,No
2025-06-17,Bank charges,Fuel Purchase Shell Soshanguve 485442*038214 Jun,,203.68,Debit,PENDING,,,No
2025-06-17,Card POSCash Cshmr Shoprite Mabop 74552005164130847001,Card POSCash Cshmr Shoprite Mabop 74552005164130847001,,401.50,Debit,PENDING,,,No
2025-06-17,Payshap Credit SSkhosana,Payshap Credit Sskhosana,,950.00,Credit,PENDING,,,No
